Tên Phim,Tên Khác,Nội Dung,Thể Loại,Rating,Số lượng đánh giá,Năm Phát Hành,Image
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,"Tôi Có Thể Thỉnh Cầu Một Điều Cuối Cùng Không? | May I Ask for One Final Thing?, Saihito","Tôi Có Thể Thỉnh Cầu Một Điều Cuối Cùng Không? | Trong buổi dạ hội xa hoa, tiểu thư Scarlet bất ngờ bị vị hôn phu Kyle hủy bỏ hôn ước và vu khống là nữ phản diện độc ác. Cùng với việc bị cả giới quý tộc quay lưng, cô quyết định chấm dứt những năm tháng chịu đựng nhục nhã và bất công. Trong cơn tuyệt vọng, Scarlet cầu xin một ân huệ cuối cùng là có thể tung cú đấm trời giáng vào kẻ phản bội, khởi đầu cho cuộc trả thù rực lửa. Cô dùng sức mạnh chiến đấu siêu phàm để hạ gục Kyle cùng đồng bọn của hắn, khiến những kẻ từng sỉ nhục mình phải run sợ. Từ đây, một chiến binh thanh lịch nhưng đầy nổi loạn đã trỗi dậy, viết nên câu chuyện về công lý, tình yêu và tự do.","Anime,Hài hước,Tình cảm",8.5,37,2025,https://animehay.life/upload/poster/4475-1758847613.jpg
Boku no Hero Academia: Final Season,"My Hero Academia Final Season, My Hero Academia 8",Phần cuối của bộ phim Boku no Hero Academia,"Anime,Hành động,Học đường,Siêu năng lực,Shounen",9.3,56,2025,https://animehay.life//upload/poster/4477.jpg
Pokémon Horizons: The Series,"Pokemon (Shinsaku Anime), Pocket Monsters (2023)","Tạm biệt Satoshi (Ask Ketchum) và Một Series mới bắt đầu với Liko và Roy khi họ làm sáng tỏ những bí ẩn xung quanh họ và chạm trán với Friede, Đội trưởng Pikachu, Amethio và những người khác trong cuộc phiêu lưu thú vị của họ!","Anime,Hành động,Hài hước,Phiêu lưu",5.2,217,2023,https://animehay.life/upload/poster/3774-1690351978.jpg
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,"Inexpressive Kashiwada and Expressive Oota, Expressionless Face Girl & Emotional Face Boy","Kashiwada-san, một nữ sinh trung học mặt đơ với bất kì ai và Oota-kun, con người hoàn toàn ngược lại với Kashiwada-san. Vì muốn thấy cô bạn này biểu lộ cảm xúc nên Oota-kun đã gây đủ trò,tình cách mặt dù có vẻ trái ngược nhau đấy nhưng mà tình cảm tuổi tác còn không quan trọng thì cảm xúc là gì?",Anime,7.9,18,2025,https://animehay.life//upload/poster/4480.jpg
Kekkon Yubiwa Monogatari II,Tales of Wedding Rings Season 2 | Câu Chuyện Nhẫn Cưới SS2,"Satou đã yêu người bạn thời thơ ấu và người hàng xóm của mình, Hime, kể từ khi cô và ông của cô đột nhiên xuất hiện cách đây 10 năm. Giờ đây đã là một mỹ nhân trung học rực rỡ nhưng bí ẩn, cô khiến anh ngày càng khó thổ lộ tình cảm của mình. Khi ngày kỷ niệm ngày gặp gỡ đầu tiên của họ đang đến gần, liệu anh có thu hết can đảm để biến tình bạn của họ thành một điều gì đó hơn thế nữa không? Hay một số phận hoàn toàn khác sẽ chờ đợi cặp đôi gắn bó chặt chẽ này?","Anime,Tình cảm,Harem,Giả tưởng,Seinen,Ecchi",7.1,15,2025,https://animehay.life/upload/poster/4479-1759348206.jpg
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezashimasu",Pháp Sư Hoàng Gia Bị Trục Xuất Quyết Tâm Trở Thành Kẻ Mạnh Nhất | The Banished Court Magician Aims to Become the Strongest,"Bộ phim xoay quanh Alec Yugret, một pháp sư cung đình chuyên sử dụng ma thuật hỗ trợ để giúp thái tử vượt qua các hầm ngục. Tuy nhiên, một ngày nọ, thái tử bất ngờ sa thải Alec vì cho rằng phép thuật hỗ trợ là vô dụng. Từ lúc trở thành kẻ thất nghiệp, Alec nhận được lời mời từ người bạn cũ Yorha để cùng tham gia vào hành trình khám phá hầm ngục một lần nữa.","Anime,Hành động,Giả tưởng",7.9,24,2025,https://animehay.life//upload/poster/4483.jpg
Spy x Family 3rd Season,Spy x Family Season 3,Mùa 3 của Spy x Family.,"Anime,Hành động,Hài hước,Shounen",9.0,49,2025,https://animehay.life//upload/poster/4481.jpg
Fujimoto Tatsuki 17-26,"Tatsuki Fujimoto 17-26, Niwa ni wa Niwa Niwatori ga Ita., Sasaki-kun ga Juudan Tometa, Koi wa Moumoku, Shikaku, Ningyo Rhapsody, Me ga Sametara Onnanoko ni Natteita Yamai, Yogen no Nayuta, Imouto no Ane","Tuyển tập chuyển thể tám truyện ngắn của họa sĩ manga Tatsuki Fujimoto (tác giả của Chainsaw Man) trong độ tuổi từ 17 đến 26.Cặp Gà Cộc Cộc Vẫn Đá Bóng Trong Sân TrườngCâu chuyện về mối liên kết của hai người sống sót trong thế giới hậu tận thế.Sasaki Chặn ĐạnKhám phá những cung bậc cảm xúc mãnh liệt của tuổi mới lớn.Tình Yêu Mù QuángMột bộ phim hài lãng mạn khoa học viễn tưởng về tình yêu ở tầm vũ trụ.ShikakuChuyện tình yêu đầy sóng gió của một nữ sát thủ mất trí.Bản Tình Ca Nàng Tiên CáChuyện tình cảm động giữa một chàng trai và một nàng tiên cá xoay quanh cây đàn piano dưới nước.Hội Chứng Thức Tỉnh Khi Là Con GáiHành trình tìm kiếm bản ngã đích thực của một người vượt ra ngoài những chuẩn mực giới tính.Nayuta của Lời Tiên TriHành trình của hai chị em bị ràng buộc bởi một số phận khắc nghiệt.Chị Em GáiMiêu tả sự ganh đua, xung đột và trưởng thành giữa hai chị em có thiên hướng nghệ thuật.","Anime,Hành động,Hài hước",nan,2,2025,https://animehay.life//upload/poster/4520.jpg
Nageki no Bourei wa Intai shitai,"Vong linh đau khổ muốn giải nghệ, 嘆きの亡霊は引退したい, Let This Grieving Soul Retire","Cùng làm thợ săn kho báu nào! Mục tiêu chỉ có một: Trở thành anh hùng mạnh nhất thế giới! Xưa kia, có 6 người đã thề hứa như vậy với nhau. Duy chỉ có một chàng trai trong số đó cực kì thiếu tài năng. Một ngày nọ, sau khi giãi bày những phiền muộn của mình với người bạn thuở nhỏ, cậu nhận được lời khuyên: ""Krai này, không có vai gì hợp thì cậu làm leader đi"". Tổ đội Strange Grief do những kẻ quái vật siêu tài năng (bạn thuở nhỏ) thành lập đã vang danh khắp đế quốc suốt vài năm nay. Và trước khi kịp hiểu được chuyện gì đang xảy ra, Krai đã được cất nhắc lên vị trí cao nhất, leader của tổ đội mạnh nhất. Bởi kì vọng tăng vọt của những người xung quanh, lời nói và hành động của cậu ta luôn bị hiểu nhầm, khiến cho tình hình chuyển biến theo hướng không ai ngờ tới... Đây là sử thi anh hùng đầy vinh quang và đau khổ của Krai Andrey trứ danh, clan master mạnh nhất của tổ đội mạnh nhất!","Anime,Hành động,Phiêu lưu",8.8,235,2024,https://animehay.life//upload/poster/4142.jpg
Tensei Akujo no Kuro Rekishi,"The Dark History of the Reincarnated Villainess, The Reincarnated Villainess' Dark History","Konoha Satou có một ""quá khứ đen tối"", một câu chuyện cô đã viết xuyên suốt quãng thời gian học cấp hai, một cuộc phiêu lưu giả tưởng về tình yêu và phép thuật của cô con gái nhà Bá tước Konoha Magnolia và những hiệp sĩ đem lòng yêu cô ấy! Khi tưởng chừng như quá khứ đen tối đó sắp bị mẹ vạch trần, Konoha hoảng sợ và qua đời trong một vụ tai nạn giao thông! Lúc mở mắt ra, cô thấy mình đã tái sinh vào thế giới mà mình sáng tạo ra, với tư cách là Iana Magnolia, nhân vật phản diện tồi tệ nhất do chính tay cô viết lên!","Anime,Hài hước,Tình cảm,Giả tưởng,Shoujo",nan,10,2025,https://animehay.life//upload/poster/4503.jpg
Chitose-kun wa Ramune Bin no Naka,"Chitose Is in the Ramune Bottle, Chiramune, Chitose-kun is Inside a Ramune Bottle, Ramune no Bin ni Shizunda Biidama no Tsuki","Nhân vật chính, một siêu riajuu.『Chitose Saku lớp 5 là một tên cặn bã lăng nhăng.』Kể cả khi Chitose Saku bị xúc phạm ở trang web ngầm của trường thì cậu - thủ khoa trường cao trung Fuji luôn bị vây bởi những người không chỉ cực kì nổi trội về ngoại hình mà còn giữ những vai trò quan trọng. Cô vợ quốc dân với aura công chúa, Hiiragi Yuuko. Một người luôn cố nỗ lực để trở thành riajuu, Uchida Yua. Một cô gái hoạt bát và là át chủ bài của câu lạc bộ bóng rổ, Aomi Haru… Trong khoảng thời gian ngắn ngủi với họ, cậu bị nhờ đến giúp một học sinh tự nhốt mình ở trong nhà. Liệu đây là một câu truyện về harem của một tên riajuu, hay…?","Anime,Hài hước,Tình cảm,Harem,Học đường,Đời thường",9.0,48,2025,https://animehay.life//upload/poster/4499.jpg
Ugoku! Neko Mukashibanashi,うごく！ねこむかしばなし| Mèo Trong Truyện Cổ,"Bạn nghĩ sao nếu những câu chuyện cổ tích quen thuộc bỗng được “remake” mà tất cả nhân vật đều là… mèo? 
Trong NEKO Mukashi Banashi, các truyền thuyết ngày xưa sẽ trở nên vừa lạ lẫm vừa cực kỳ đáng yêu với đủ trò hài hước, tinh nghịch đặc trưng của loài mèo. Một chuyến du hành cổ tích nhưng phiên bản “mèo” chắc chắn sẽ khiến bạn vừa cười vừa bất ngờ!","Anime,Hài hước",nan,2,2025,https://animehay.life//upload/poster/4512.jpg
